OutfitId,OutfitSet,OutfitUrl
17269295,"['灰色top', '白色top', '灰色pants']",https://wear.tw/genji/17269295/
17257654,"['橙色top', '白色top', '黑色pants']",https://wear.tw/genji/17257654/
17257556,"['灰色top', '白色top', '藍色pants']",https://wear.tw/genji/17257556/
17257496,"['白色top', '白色top', '白色pants']",https://wear.tw/genji/17257496/
17257263,"['黑色top', '黑色top', '白色top', '黑色pants']",https://wear.tw/genji/17257263/
17257125,"['白色top', '白色top', '橙色pants']",https://wear.tw/genji/17257125/
17213651,"['橘色top', '白色top', '黑色pants']",https://wear.tw/genji/17213651/
17213522,"['黑色top', '綠色top', '白色top', '灰色pants']",https://wear.tw/genji/17213522/
17213235,"['灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17213235/
17213148,"['綠色top', '白色top', '黑色pants']",https://wear.tw/genji/17213148/
17200622,"['橘色top', '白色top', '白色pants']",https://wear.tw/genji/17200622/
17200591,"['白色top', '白色top', '白色pants']",https://wear.tw/genji/17200591/
17174936,"['白色top', '黑色pants']",https://wear.tw/genji/17174936/
17174859,"['橙色top', '白色top', '橘色pants']",https://wear.tw/genji/17174859/
17174150,"['黑色top', '橘色pants']",https://wear.tw/genji/17174150/
17174021,"['橘色top', '橘色pants', '白色top']",https://wear.tw/genji/17174021/
17173887,"['灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17173887/
17173858,"['橘色top', '綠色top', '白色top', '白色pants']",https://wear.tw/genji/17173858/
17161826,"['橙色top', '藍色pants']",https://wear.tw/genji/17161826/
17161418,"['橙色top', '白色top', '黑色pants']",https://wear.tw/genji/17161418/
17161299,"['黑色top', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17161299/
17135073,"['綠色top', '灰色pants']",https://wear.tw/genji/17135073/
17135010,"['橙色top', '橙色top', '黑色pants']",https://wear.tw/genji/17135010/
17134868,"['灰色top', '白色top', '白色pants']",https://wear.tw/genji/17134868/
17088626,"['橘色top', '白色top', '黑色pants']",https://wear.tw/genji/17088626/
17088298,"['橘色top', '白色top', '藍色pants']",https://wear.tw/genji/17088298/
17115385,"['黑色top', '白色pants', '白色top']",https://wear.tw/genji/17115385/
17087702,"['橘色top', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17087702/
17087579,"['白色top', '白色top', '白色pants']",https://wear.tw/genji/17087579/
17087534,"['黑色top', '白色top', '橘色pants']",https://wear.tw/genji/17087534/
17087443,"['橙色top', '橙色pants', '白色top']",https://wear.tw/genji/17087443/
17074068,"['藍色top', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17074068/
17040083,"['黑色top', '白色top', '白色pants']",https://wear.tw/genji/17040083/
17074303,"['橘色top', '白色top', '灰色pants']",https://wear.tw/genji/17074303/
17040009,"['橘色top', '白色top', '灰色pants']",https://wear.tw/genji/17040009/
17027933,"['黑色top', '白色top', '藍色pants']",https://wear.tw/genji/17027933/
17027800,"['灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17027800/
17027647,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/17027647/
17026341,"['橘色top', '白色top', '黑色pants']",https://wear.tw/genji/17026341/
16984284,"['藍色top', '灰色top', '白色top', '藍色pants']",https://wear.tw/genji/16984284/
16984073,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/16984073/
16983717,"['黑色top', '白色top', '黑色pants']",https://wear.tw/genji/16983717/
16982845,"['橘色top', '白色top', '灰色pants']",https://wear.tw/genji/16982845/
16977775,"['灰色top', '橘色top', '白色top', '黑色pants']",https://wear.tw/genji/16977775/
16977650,"['黑色top', '綠色top', '白色top', '灰色pants']",https://wear.tw/genji/16977650/
16977313,"['橙色top', '黑色pants']",https://wear.tw/genji/16977313/
16977187,"['橘色top', '白色top', '橘色pants']",https://wear.tw/genji/16977187/
16940736,"['白色top', '黑色pants']",https://wear.tw/genji/16940736/
